BuyRate,BuyQuantity,SellRate,SellQuantity
3.177e-05,15296.81308928,3.186e-05,15066.08066708
3.176e-05,54.20043136,3.187e-05,5000.81497048
3.166e-05,6564.333486,3.189e-05,57.9233173
3.163e-05,2000.0,3.19e-05,4275.0
3.161e-05,2707.31376582,3.191e-05,905.81006231
3.16e-05,4642.68945404,3.193e-05,1565.92546195
3.157e-05,7602.14264413,3.194e-05,5111.13463963
3.156e-05,4484.75277162,3.195e-05,6617.738
3.155e-05,5823.96866787,3.197e-05,6587.66943843
3.153e-05,372.80759408,3.198e-05,15757.44239059
3.152e-05,43.9029751,3.199e-05,225767.44574143
3.151e-05,33393.80880043,3.201e-05,4200.92487462
3.15e-05,13421.02613945,3.204e-05,250.0
3.149e-05,17554.87847157,3.207e-05,988.31015894
3.148e-05,150.0,3.209e-05,75.0
3.147e-05,377.22994188,3.21e-05,54.80310033
3.146e-05,6086.82008194,3.214e-05,87.24989369
3.145e-05,19088.42824876,3.216e-05,31.56485948
3.144e-05,3711.17963386,3.22e-05,16437.79333403
3.143e-05,300.0,3.222e-05,1133.977212
3.142e-05,5329.59945774,3.224e-05,160.48374
3.141e-05,6423.46297616,3.226e-05,82631.0
3.14e-05,23155.49139261,3.231e-05,5255.68181811
3.139e-05,47.66677206,3.232e-05,260.79046643
3.138e-05,2001.86652665,3.233e-05,374.82902187
3.137e-05,100697.20336466,3.234e-05,3740.14506461
3.136e-05,2248.00100383,3.235e-05,1293.19823995
3.135e-05,4634.58547976,3.238e-05,32.06538824
3.134e-05,3705.56297703,3.239e-05,987.32445168
3.133e-05,56.89629349,3.24e-05,355.02706456
3.132e-05,90.74682679,3.241e-05,2116.48825706
3.131e-05,340.85897716,3.242e-05,208917.4806844
3.13e-05,4331.63738357,3.243e-05,330.18867924
3.129e-05,1025.9636745,3.244e-05,206.71932465
3.128e-05,3375.6646875,3.245e-05,329.26062093
3.127e-05,4288.49536297,3.246e-05,86.07885564
3.126e-05,9458.13490643,3.247e-05,16.29124053
3.125e-05,10120.3506652,3.248e-05,2944.15472406
3.124e-05,4134.30971002,3.249e-05,21066.88529173
3.123e-05,40.71668572,3.25e-05,23822.37943065
3.122e-05,345.68937746,3.253e-05,1846.54746882
3.121e-05,1172.82190884,3.254e-05,774.57106721
3.12e-05,23703.12214733,3.255e-05,31.19151591
3.118e-05,805.38422627,3.256e-05,266.20732851
3.117e-05,1013.30775108,3.257e-05,3553.78459896
3.116e-05,82860.3171189,3.258e-05,3865.41471045
3.115e-05,17573.08262115,3.259e-05,185.43256347
3.114e-05,440.19410309,3.26e-05,30129.59445263
3.113e-05,28350.85204947,3.261e-05,2220.13758596
3.112e-05,3590.1778046,3.262e-05,328.00498198
3.111e-05,2640.46104148,3.263e-05,147.45116823
3.11e-05,21085.08799369,3.264e-05,129.55075106
3.109e-05,44555.32306529,3.265e-05,2634.98410196
3.108e-05,1470.97059457,3.266e-05,12521.18813568
3.107e-05,19594.39260395,3.267e-05,7471.46261425
3.106e-05,500.0,3.268e-05,1380.44714828
3.105e-05,20208.0119893,3.27e-05,43.29037394
3.104e-05,1730.82474227,3.271e-05,47.22921914
3.103e-05,5413.41924026,3.272e-05,40.01425904
3.102e-05,38607.99947596,3.273e-05,1598.08982571
3.101e-05,23422.26951017,3.274e-05,11694.30191604
3.1e-05,407794.75800733,3.275e-05,3537.2827265
3.099e-05,2357.08403765,3.276e-05,111.19662669
3.098e-05,14646.44085056,3.277e-05,310.97893433
3.097e-05,610.0,3.278e-05,5164.27596875
3.096e-05,32838.76429587,3.279e-05,328.87930365
3.095e-05,5290.0,3.28e-05,4211.22912036
3.094e-05,532.31521103,3.281e-05,2832.61892081
3.093e-05,94220.41848999,3.282e-05,1474.29468869
3.092e-05,5071.03864651,3.283e-05,639.78403125
3.091e-05,323.51989647,3.284e-05,121.98793206
3.09e-05,47370.96393355,3.285e-05,611.96319018
3.089e-05,1733.40672629,3.286e-05,141.02162331
3.088e-05,1408.7992228,3.287e-05,18211.31077694
3.087e-05,83.76099787,3.288e-05,598.9091345
3.086e-05,3450.55187197,3.289e-05,1884.88563043
3.085e-05,14824.08654109,3.29e-05,418638.74305104
3.084e-05,3234.43579767,3.291e-05,90371.57687426
3.083e-05,105.19072332,3.293e-05,103486.55409629
3.082e-05,20.0,3.294e-05,328.22757111
3.081e-05,3100.43733934,3.295e-05,2939.5587704
3.08e-05,109235.68648605,3.296e-05,3136.62347742
3.079e-05,7748.05960701,3.297e-05,955.60771126
3.077e-05,1840.77673059,3.298e-05,30.77369206
3.076e-05,574.38261622,3.299e-05,1421.37847923
3.075e-05,93262.223938,3.3e-05,75958.67590538
3.074e-05,279.57339882,3.303e-05,12275.39363986
3.073e-05,23246.01366743,3.304e-05,18192.71780763
3.072e-05,2236.45205323,3.305e-05,3174.2095134
3.071e-05,150.0,3.306e-05,31813.73778066
3.07e-05,22838.58768434,3.307e-05,21814.68744464
3.069e-05,2000.69845802,3.308e-05,138.57575096
3.068e-05,101.49855117,3.309e-05,70.95266604
3.067e-05,3896.59610832,3.31e-05,32309.58185276
3.066e-05,340.37475538,3.311e-05,4287.01549637
3.065e-05,114255.82963133,3.312e-05,763.61765889
3.064e-05,121.0,3.313e-05,570.31889863
3.063e-05,19.30688867,3.314e-05,30.63167101
3.062e-05,300.0,3.315e-05,78781.33344492
3.06e-05,21852.42083267,3.317e-05,221.51990607
